Designator,Mid X,Mid Y,Rotation,Layer
AE2,21.175,36.68,0.0,top
C10,9.5,21.5,90.0,top
C11,24.361437,18.697736,180.0,top
C12,18.0,37.5,180.0,top
C14,5.937335,38.306954,0.0,top
C17,7.539987,35.155814,180.0,top
C18,7.539987,36.158823,180.0,top
C19,28.996375,28.50815,0.0,top
C2,18.5,21.5,90.0,top
C20,25.016375,28.50815,0.0,top
C21,27.00815,31.003625,270.0,top
C22,6.49185,30.381426,90.0,top
C23,24.50815,10.381698,270.0,top
C24,15.996375,24.00815,0.0,top
C25,30.378224,40.819774,0.0,top
C26,2.503625,40.99185,180.0,top
C3,5.83,12.59,0.0,top
C4,7.0,6.0,0.0,top
C5,12.5,21.5,90.0,top
C6,15.5,21.5,90.0,top
C7,17.0,21.5,90.0,top
C8,14.0,21.5,90.0,top
C9,11.0,21.5,90.0,top
D1,1.25,15.82,90.0,top
D2,3.55,15.82,270.0,top
D3,5.85,15.82,270.0,top
D4,29.0,7.5,270.0,top
D6,4.85432,34.826797,270.0,top
J1,16.775,16.34,0.0,top
J2,13.865,7.0,90.0,top
J3,26.0,36.991,90.0,top
J5,1.276711,23.813212,0.0,top
L1,6.33,9.47,270.0,top
LED1,32.708778,29.49491,0.0,top
M1,2.2,30.955,90.0,top
Q1,22.0,8.0,90.0,top
Q4,25.5,7.5,180.0,top
Q5,7.81,33.0,0.0,top
R1,16.003509,14.710186,180.0,top
R10,4.55,5.95,90.0,top
R12,30.0,31.0,90.0,top
R13,28.5,31.0,270.0,top
R14,27.0,16.0,0.0,top
R15,29.0,16.0,0.0,top
R16,31.762392,31.014587,270.0,top
R17,5.182731,30.391852,270.0,top
R2,8.5,28.5,0.0,top
R20,20.476657,22.380836,0.0,top
R21,27.0,28.5,0.0,top
R22,4.55,41.0,0.0,top
R23,33.146827,31.04284,90.0,top
R24,24.0,21.5,180.0,top
R25,24.0,20.32,0.0,top
R26,32.669295,28.529448,0.0,top
R3,8.49282,27.307447,0.0,top
R4,29.5,12.0,90.0,top
R5,32.554244,40.890874,180.0,top
R6,6.0,39.5,180.0,top
R7,7.762392,30.381426,90.0,top
R8,19.195226,7.655856,180.0,top
R9,19.163716,6.440959,0.0,top
SW1,31.87,9.78,270.0,top
SW2,31.87,36.18,270.0,top
SW3,1.93,36.18,90.0,top
SW4,1.93,9.78,90.0,top
TYPEC1,31.3,22.435,90.0,top
U1,15.769852,12.243682,90.0,top
U2,27.0,12.5,270.0,top
U3,24.0,23.5,0.0,top
U4,12.27,25.95,0.0,top
U5,31.9,15.0,0.0,top
U6,11.76,32.64,180.0,top
U7,18.17,31.17,0.0,top
U8,14.800507,37.0,90.0,top
Y1,11.63,37.0,0.0,top
Y3,24.0,26.0,90.0,top
